Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SaleCondition,SalePrice
1,60,RL,65.0,8450,Reg,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,196.0,Gd,PConc,Gd,No,GLQ,706,Unf,150,856,Ex,856,854,1710,1,2,1,3,Gd,8,0,Missing,Attchd,2003.0,RFn,2,548,0,61,0,2,2008,Normal,208500
2,20,RL,80.0,9600,Reg,FR2,Veenker,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,Gd,Gd,ALQ,978,Unf,284,1262,Ex,1262,0,1262,0,2,0,3,TA,6,1,TA,Attchd,1976.0,RFn,2,460,298,0,0,5,2007,Normal,181500
3,60,RL,68.0,11250,IR1,Inside,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,Gd,PConc,Gd,Mn,GLQ,486,Unf,434,920,Ex,920,866,1786,1,2,1,3,Gd,6,1,TA,Attchd,2001.0,RFn,2,608,0,42,0,9,2008,Normal,223500
4,70,RL,60.0,9550,IR1,Corner,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,None,0.0,TA,BrkTil,TA,No,ALQ,216,Unf,540,756,Gd,961,756,1717,1,1,0,3,Gd,7,1,Gd,Detchd,1998.0,Unf,3,642,0,35,272,2,2006,Abnorml,140000
5,60,RL,84.0,14260,IR1,FR2,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,PConc,Gd,Av,GLQ,655,Unf,490,1145,Ex,1145,1053,2198,1,2,1,4,Gd,9,1,TA,Attchd,2000.0,RFn,3,836,192,84,0,12,2008,Normal,250000
6,50,RL,85.0,14115,IR1,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,None,0.0,TA,Wood,Gd,No,GLQ,732,Unf,64,796,Ex,796,566,1362,1,1,1,1,TA,5,0,Missing,Attchd,1993.0,Unf,2,480,40,30,0,10,2009,Normal,143000
7,20,RL,75.0,10084,Reg,Inside,Somerst,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,186.0,Gd,PConc,Ex,Av,GLQ,1369,Unf,317,1686,Ex,1694,0,1694,1,2,0,3,Gd,7,1,Gd,Attchd,2004.0,RFn,2,636,255,57,0,8,2007,Normal,307000
8,60,RL,69.0,10382,IR1,Corner,NWAmes,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,240.0,TA,CBlock,Gd,Mn,ALQ,859,BLQ,216,1107,Ex,1107,983,2090,1,2,1,3,TA,7,2,TA,Attchd,1973.0,RFn,2,484,235,204,228,11,2009,Normal,200000
9,50,RM,51.0,6120,Reg,Inside,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,None,0.0,TA,BrkTil,TA,No,Unf,0,Unf,952,952,Gd,1022,752,1774,0,2,0,2,TA,8,2,TA,Detchd,1931.0,Unf,2,468,90,0,205,4,2008,Abnorml,129900
10,190,RL,50.0,7420,Reg,Corner,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,GLQ,851,Unf,140,991,Ex,1077,0,1077,1,1,0,2,TA,5,2,TA,Attchd,1939.0,RFn,1,205,0,4,0,1,2008,Normal,118000
